Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Uterus	866/12771	1.6595804141695833E-51	1.613112162572835E-48	0	0	3.2554590933497787	380.6454495290028	C5ORF22;COBRA1;NUP107;PGAP3;GMFG;ACCS;LIPA;PSMD7;SCP2;AKT2;DPYSL3;PRKACB;STARD3;HEMK1;TSTD2;DNTTIP2;SND1;EML2;LARS2;PRKAR1B;PSME3;ZC3H11A;UQCRC1;RBCK1;ATF6;TSTA3;SET;SHMT1;AAAS;PLA2G6;SLC5A3;GABARAP;CIAO1;PRKAR2B;EPB41L1;MYO6;ABCA1;B3GALNT2;ZNF264;LRBA;ERLIN1;C20ORF24;MRPL23;FLI1;NR2F6;FAM111A;FAM135A;LAS1L;QARS;ZNF30;FXYD6;PSMG1;ZNF498;SFXN5;ARHGAP9;LRSAM1;PIGO;HEXA;DIS3L;QPRT;NCAPG2;PTH1R;MED16;ARHGAP6;TMEM48;MED14;SMPD4;PPP2R4;DLGAP5;CNOT6L;ACTL6A;SLC39A10;C6ORF62;FAHD2A;MBLAC2;MED20;C19ORF25;PIGG;PAFAH1B3;RAPGEF4;IDUA;GSTP1;PTAFR;SLC7A2;TCOF1;FRZB;ZSWIM6;CEPT1;RPS27A;MBD5;ATRNL1;PLXDC2;ARCN1;NUDT22;FAM200B;CENPF;TAOK3;CCDC8;ZNF74;SERBP1;CENPK;PRKRIR;NCAPD3;LGR4;CDKN3;ZNF692;FAM13B;C21ORF49;APEH;FBXO22;NUDT10;NRD1;SESN1;RUVBL2;LEPR;FBRSL1;NEK2;ZNF202;CDKL5;DGAT1;VPS33A;UBE2E1;FBXO10;POLRMT;ADCYAP1;VMAC;MAF;ACAP1;MAPKAPK3;SMO;SLC9A8;MAPKAPK5;SNRNP200;S100A9;ANAPC1;CDKL1;TUBGCP2;MAX;FHIT;KRCC1;SAV1;ATXN1;AMDHD2;MBP;MDN1;GOT2;SRD5A3;MCC;PTPRC;STK25;TUBGCP6;NIT1;SLC25A1;ARHGAP11A;ARHGAP11B;CELF2;FHL1;LRRK1;COX4I2;PPWD1;PIK3CD;FOXM1;ITGAL;TSPAN12;SPN;MRPL4;PPP6R2;HMG20B;ACP5;ACP2;ME2;ZNF643;UNC45A;PPP1R12A;ITGA4;ACTR5;SH2D3C;AHSA2;RABGGTA;PCCA;ETF1;ST6GALNAC3;NDUFB7;SRBD1;KATNB1;HSD17B14;IL2RG;NCLN;CECR5;SLC25A22;SEPT10;PPP1R14B;NICN1;DHODH;TSPAN14;ZNF619;PRC1;TSPAN17;PTPN6;CCM2;KCNK1;KCNK3;SPG20;EPHB6;ICAM3;ZDHHC7;IKZF1;PEX26;NUBP2;NUDT4;RASSF2;CDC23;BSG;ZNF721;SLC12A6;SMARCC1;ALG9;TMEM194A;ENTPD6;TALDO1;ALG1;MFSD12;MFSD10;THAP4;CDC34;CFDP1;SPATA13;MT1F;ZNF711;MT1H;RIN3;PREB;KIF20A;STX1A;TMEM87B;PAXIP1;DHX9;KALRN;EPB49;ACTR3B;SNX1;APH1B;RACGAP1;DHX35;ZNF700;APOE;BBS2;RCC2;MYO5A;PILRB;NBEAL2;SMARCA1;IFFO1;SMARCA4;NET1;BST1;ANLN;CWF19L1;C7ORF63;RANBP10;ECHDC1;CALM3;FBXL5;MRPS16;ACY1;NAT10;KIF11;BRCA1;TFB1M;PTPRG;AKAP13;SYNCRIP;SUFU;ENC1;CNTRL;CTSD;PABPC5;AKR1A1;CACYBP;KIF23;IL16;TFB2M;LAT2;RAP2A;KIF2A;ARHGEF6;CD63;AHCY;SATB1;HEATR1;MRPS34;HSD17B4;CAPG;MRPS30;COX5B;EXOSC7;PAK1;RXRA;EXOSC4;PNMA1;GPC4;EXOSC3;CCT5;MAP3K2;BCAP31;GIT2;NPM2;GCA;NUBPL;GAD1;PLEKHA5;NPM3;ALDH4A1;MIS18A;SGSM3;KCNS3;PNPLA4;TACC1;PNPLA6;CD68;SCARB1;PRDM5;BUB1B;TTF2;AKR7A2;CAPN5;CAPN1;G6PD;SUPT7L;DKC1;FAM173A;HNRNPUL2;GEMIN5;PPIH;CARS2;RTN2;PSMD12;DDX5;COX18;KLHL12;NUP160;ACACA;PLD3;TIMM50;VCPIP1;CCNB2;ECT2;NDUFV1;QSER1;SYT1;NUP155;PHF10;AUTS2;KLHL26;KLHL28;HMGA1;KLHL23;UBE2A;GULP1;TMEM234;TMEM237;KIF4A;TAF4B;TCF4;DEGS1;UBA1;PHF16;FGF13;RERE;RBM28;PHTF2;TTC23;HMGB3;MTR;HMGB1;GPHN;LTB4R;TTC27;SEC61A2;SGOL2;CPT2;TIMM17B;MYBL2;NUP133;DDX58;DDX55;SHROOM2;DARS2;IRAK4;YWHAZ;ETV4;TTI1;ELF1;NDUFS8;FAM96A;NDUFS2;LPHN2;SCN4B;FBP1;SHANK1;AGPAT9;PNKP;DDX23;DDX20;SLC3A2;PPOX;CAND1;TGS1;MAN1C1;NAA25;TIMM8B;HSD3B7;GALNT3;C4ORF29;PDAP1;MAPK13;RPIA;FAM179B;CLCN5;GALE;ERCC3;POLE2;ERCC1;ERCC2;NUP35;GALM;ERCC5;SNTB1;OTUD3;ANKLE2;IPO11;WIPF1;KIAA0141;HNRNPR;ENO1;BACH1;SMC4;FAM122B;MTBP;RPL36;DHRS4L2;DUS4L;ZNF167;NUP214;UNC13B;C14ORF159;NUP210;PIH1D1;COL23A1;FNDC3A;SYTL2;NUP93;TEP1;ARMC6;CLPP;FDX1;HPRT1;VPS25;PRR11;GPLD1;POM121;NUP205;SEH1L;CTBP1;NOLC1;FAM82A2;CFP;FAM160B2;PRDX2;RIC8B;CHST11;NTHL1;PTPMT1;PLCG2;GAR1;NUP88;CEP76;SLC19A1;FDFT1;NAA50;PLK4;AFAP1L2;HOMER1;DNAH14;EPT1;TMEM198;GNPTG;HNRNPM;FAM160A2;TCN2;TOLLIP;HNRNPD;MMS19;SERPINI1;RAD18;GAPT;SERPINA1;SETD6;WDR41;TMEM181;ABCC10;CSAD;WDR43;ING2;AIFM2;NUF2;PBK;RRP12;CEP55;CEP68;RPS6KL1;WDR36;SLC2A11;SLC2A13;TCF12;TET2;ELMOD3;AGXT2L2;CIT;NCOR2;KAT2A;MRAS;RARB;TKT;GART;MGLL;GAS7;GRN;GPS1;TIMM13;ADCY2;FAM214A;APOLD1;ARFRP1;ALOX5;USP1;BRD9;ZNF346;ZNF587;SF3A3;WDR17;PCGF6;CDKN2C;WDR18;GSS;CARD8;SAAL1;GATC;NR1H3;NMNAT3;WDR12;AGT;LRPPRC;DEF6;HINFP;AGBL3;C16ORF80;LPCAT2;FAM49B;OXNAD1;DGKB;SYAP1;CTNND1;CLU;CDC14A;PPP1CC;NPEPPS;CYSLTR1;HMGN5;FCGRT;SMARCAD1;SLC26A11;LZTS2;C8ORF42;PLEKHJ1;HMGN1;CSGALNACT1;IGFBP1;TLE4;RNF44;SUPT16H;MREG;USP5;TPM2;ANKRD44;MAGI3;SPICE1;MOB3A;DISP1;ARMCX4;MELK;DGKQ;ZNF318;SNRPG;EIF2C4;DNMT1;ITPR1;TARS;C1ORF112;MTM1;DDRGK1;C1ORF109;ZNF543;EIF2B5;TMEM132C;CEP112;DHCR24;LSM4;CNOT6;REEP4;TADA3;SPIRE2;CNIH3;SLC26A6;RNF11;WDR1;MCM8;PTPN22;ADAMTS5;PSD4;RNPEP;UBTF;PDDC1;WDR6;EIF2B1;TNPO2;ADAMTS9;CCDC34;TRPC1;HAUS6;KCNAB2;COASY;POLR1A;POLR1B;ZNF516;POLR1C;MCM3;SNRPA1;MCM6;ZNF511;SSX2IP;HDAC4;PLEKHH2;ACSS3;ACSS2;MTFP1;GLS2;VPS4B;AMBRA1;MRM1;LMF1;RAB20;RBBP5;KIAA0355;ANKAR;POLR2E;RBBP7;WASF1;UGGT2;MEST;KCNIP3;TRIT1;RAD52;POLR3A;CLEC2B;FRAS1;APOC2;MFAP3;POLR3E;APOC1;EVI2B;CCDC61;METAP2;TCERG1;ISCA2;TRAF3IP3;LST1;MKI67;TIAL1;GOLGA5;ZNF608;RPL18A;PPP2R1A;ZNF846;RPS6KA1;TBC1D10C;SEPHS1;SOX6;SIL1;SKP1;SOX5;SLC35C2;SLC6A12;CYP27A1;CIRH1A;TTLL12;AURKAIP1;TELO2;BEX4;GPM6A;MACF1;BEX2;HKR1;TMEM161A;MAOB;ANP32A;DCUN1D4;RPAP1;GMCL1;NUAK1;PDCD11;ASUN;INPP5D;SCAI;ZRANB3;TRAP1;ZWINT;UBAC2;TPX2;STAG2;ANP32E;TECPR1;TOP2A;DAZAP2;AHCTF1;FASTKD1;SH3KBP1;FAM69A;HCCS;LIMD2;XPO5;ZNF800;DLAT;ANKRD6;PRMT5;MANBA;PARP1;PRMT3;RHOH;NME6;NME7;RPUSD3;MAPRE1;TLR3;CSTB;HAAO;ZDHHC23;NT5C;ANKMY2;EGFLAM;METTL5;CTNNA2;ARNT2;MTX1;PTGES2;PTGES3;XPO7;LHFPL2;LILRB4;SVIP;MPP6;TJP1;PRKRA;R3HCC1;B9D1;CAMK1;APBA3;CCBL2;NUCKS1;CHCHD4;ARHGAP42;CHCHD3;BMPER;NARS2;ARHGDIB;TRAPPC12;SIRPA;GUCY1A3;NOM1;LIG1;LMO4;SHISA5;PUS7;ALG10;PDIA6;KCTD7;TUFM;ALDH3A2;TMEM135;MAU2;FANCD2;ILVBL;ELMO1;MATR3;RPS19BP1;USP53;NOP2;LPL;CABP1;C14ORF101;ARHGAP15;TRHDE;MAN2A1;PODXL;TMEM128;CDH23;TGFB2;MLKL;CBX3;ARHGAP28;EIF2S2;NMRAL1;COQ4;EFNA1;ARHGAP32;GRHPR;DLG1;ARHGAP30;DLG2;SELL;BRWD1;NFKBID;BMPR1A;ABCD4;CREBZF;GPSM2;DOCK8;DBI;YBX1;SGSH;MFSD8;CASP7;SEPT6;CASP8;CYP4V2;TOP1MT;TMEM107;POLE;USP48;CAMK1D;CKAP2;LSS;FGR;RBL2;RBMS1;DOCK2;DOCK1;FAM60A;SKIV2L2;RGS19;USP10;CAMK2A;PDXP;SPG7;NT5DC3;PDSS2;PTCD3;USP22;QPCTL;CMTM6;CYHR1;DEK;FMNL1;NEURL4;CAPN10;PDE7A
Brain	881/13237	1.5039731975795632E-49	7.309309740236677E-47	0	0	3.3008057012589225	371.0718209765574	C5ORF22;COBRA1;NUP107;PGAP3;GMFG;ACCS;LIPA;PSMD7;SCP2;AKT2;DPYSL3;FAM19A2;FAM19A1;PRKACB;STARD3;HEMK1;TSTD2;DNTTIP2;SND1;EML2;LARS2;PRKAR1B;PSME3;ZC3H11A;UQCRC1;RBCK1;ATF6;TSTA3;SET;SHMT1;AGAP2;NCAPG;AAAS;PLA2G6;GABARAP;NCAPH;CIAO1;PRKAR2B;EPB41L1;MYO6;ABCA1;B3GALNT2;ZNF264;LRBA;ERLIN1;C20ORF24;MRPL23;FLI1;NR2F6;FAM111A;FAM135A;LAS1L;QARS;ZNF30;FXYD1;FXYD6;PSMG1;ZNF498;SFXN5;ARHGAP9;LRSAM1;PIGO;HEXA;DIS3L;QPRT;NCAPG2;MED16;TMEM48;MED14;SMPD4;PPP2R4;DLGAP1;DLGAP5;CNOT6L;ACTL6A;SLC39A10;C6ORF62;FAHD2A;MBLAC2;MED20;C19ORF25;PIGG;PAFAH1B3;RAPGEF4;IDUA;GSTP1;PTAFR;SLC7A2;TCOF1;FRZB;ZSWIM6;CEPT1;RPS27A;MBD5;ATRNL1;PLXDC2;ARCN1;NUDT22;FAM200B;TAOK3;C6ORF47;CENPI;ZNF74;SERBP1;CENPK;PRKRIR;NCAPD3;LGR4;ZNF692;FAM13B;CASC5;APEH;FBXO22;NUDT10;NRD1;SESN1;RUVBL2;LEPR;FBRSL1;NEK2;ZNF202;CDKL5;DGAT1;VPS33A;UBE2E1;FBXO10;POLRMT;ADCYAP1;VMAC;MAF;ACAP1;MAPKAPK3;SMO;SLC9A8;MAPKAPK5;SNRNP200;S100A9;ANAPC1;CDKL1;TUBGCP2;MAX;GPR83;FHIT;KRCC1;SAV1;ATXN1;AMDHD2;MBP;MDN1;GRIA4;GOT2;SRD5A3;MCC;PTPRC;STK25;TUBGCP6;NIT1;SLC25A1;ARHGAP11B;CELF2;FHL1;PPWD1;PIK3CD;HTR2A;FOXM1;TSPAN12;MRPL4;PPP6R2;HMG20B;ACP2;ME2;UNKL;MBL2;UNC45A;PPP1R12A;ACTR5;SH2D3C;AHSA2;RABGGTA;PCCA;ETF1;AGXT;ST6GALNAC3;ST6GALNAC5;NDUFB7;SRBD1;KATNB1;HSD17B14;ITIH1;NCLN;CECR5;IGF2BP3;SLC25A22;SEPT10;PPP1R14B;NICN1;DHODH;TSPAN14;ZNF619;PRC1;TSPAN17;PTPN6;CCM2;KCNK1;KCNK3;SPG20;EPHB6;ZDHHC7;ICAM5;IKZF1;PEX26;NUBP2;NUDT4;RASSF2;CDC23;BSG;ZNF721;SLC12A6;PAQR9;SMARCC1;ALG9;TMEM194A;ENTPD6;TALDO1;ALG1;MFSD10;THAP4;CDC34;CFDP1;KCNQ2;SPATA13;ZNF711;RIN3;PREB;KIF20A;MT1B;STX1A;KCTD16;PAXIP1;DHX9;KALRN;EPB49;ACTR3B;SNX1;APH1B;RACGAP1;DHX35;APOE;SCN3B;BBS2;NTNG2;FAM78A;RCC2;MYO5A;NBEAL2;SMARCA1;IFFO1;SMARCA4;NET1;BST1;ANLN;CWF19L1;RANBP10;ECHDC1;CALM3;FBXL5;MRPS16;DOC2A;ACY1;DIRAS2;NAT10;PCSK9;BRCA1;TFB1M;PTPRG;AKAP13;SYNCRIP;KCNT2;SUFU;ENC1;CNTRL;CTSD;PABPC5;AKR1A1;CACYBP;IL16;TFB2M;ANO3;LAT2;RAP2A;VSNL1;KIF2A;DEPDC1;ARHGEF6;CD63;AHCY;SATB1;HEATR1;MRPS34;HSD17B4;CAPG;MRPS30;COX5B;EXOSC7;PAK1;RXRA;EXOSC4;PNMA1;CREG2;GPC4;EXOSC3;CCT5;MAP3K2;BCAP31;GIT2;GABBR1;NPM2;GCA;NUBPL;GAD1;PLEKHA5;ALDH4A1;SGSM3;PNPLA4;TACC1;PNPLA6;CD68;SPC25;SCARB1;ERCC6L;BUB1B;TTF2;AKR7A2;CAPN5;CAPN1;G6PD;SUPT7L;DKC1;FAM173A;HNRNPUL2;GEMIN5;PPIH;CARS2;RTN2;PSMD12;DDX5;COX18;KLHL12;NUP160;ACACA;PLD3;TIMM50;KCNV1;VCPIP1;CCNB2;ECT2;NDUFV1;QSER1;SYT5;SYT1;NUP155;PHF10;AUTS2;KLHL26;KLHL28;HMGA1;KLHL23;UBE2A;GULP1;TMEM237;KIF4A;TAF4B;TCF4;DEGS1;UBA1;PHF16;FGF13;RERE;PRR5;RBM28;PHTF2;TTC23;HMGB3;MTR;HMGB1;GPHN;TTC27;SEC61A2;CPT2;TIMM17B;MYBL2;NUP133;DDX58;DDX55;SHROOM2;DARS2;IRAK4;YWHAZ;ETV4;MMP9;TTI1;TAPBP;ELF1;NDUFS8;FAM96A;NDUFS2;LPHN2;SCN4B;FBP1;SHANK1;PNKP;DDX23;DDX20;SLC3A2;PPOX;ADD2;CAND1;SV2B;TGS1;MAN1C1;NAA25;TIMM8B;HSD3B7;GALNT3;C4ORF29;PDAP1;CCK;RPIA;FAM179B;CLCN5;GALE;ERCC3;ERCC1;ERCC2;NUP35;GALM;ERCC5;SNTB1;OTUD3;ANKLE2;IPO11;WIPF1;KIAA0141;PNMAL2;HNRNPR;ENO1;BACH1;SMC4;FAM122B;RPL36;DHRS4L2;DUS4L;ZNF167;NUP214;UNC13B;C14ORF159;NUP210;PIH1D1;FNDC3A;SYTL2;NUP93;TEP1;ARMC6;CLPP;HMBS;FDX1;HPRT1;VPS25;PRR11;POM121;NUP205;SEH1L;CTBP1;NOLC1;FAM82A2;SKA1;FAM160B2;PRDX2;RIC8B;CHST11;NTHL1;PTPMT1;PLCG2;GAR1;NUP88;CEP76;SLC19A1;FDFT1;NAA50;PLK4;AFAP1L2;HOMER1;EPT1;TMEM198;KIAA1239;GNPTG;HNRNPM;FAM160A2;TCN2;TOLLIP;HNRNPD;MMS19;SERPINI1;RAD18;GABRB2;GABRB1;SERPINA1;SETD6;WDR41;TMEM181;ABCC10;CSAD;SLC6A1;WDR43;ING2;AIFM2;NUF2;PBK;RRP12;CEP68;RPS6KL1;WDR36;SLC2A11;AHSG;SLC2A13;TCF12;ELMOD1;TET2;ELMOD3;AGXT2L2;CIT;NCOR2;KAT2A;MRAS;RARB;GPR123;TKT;GART;MGLL;GAS7;GRN;GPS1;TIMM13;ADCY2;FAM214A;APOLD1;ARFRP1;ALOX5;USP1;BRD9;ZNF346;ZNF587;SF3A3;GABRA1;WDR17;CDKN2C;WDR18;GSS;CARD8;SAAL1;GATC;NR1H3;NMNAT3;KIAA1045;WDR12;AGT;LRPPRC;HINFP;AGBL3;C16ORF80;LPCAT2;FAM49B;OXNAD1;DGKB;SYAP1;CTNND1;CLU;CDC14A;RPH3A;PPP1CC;NPEPPS;CDH4;HMGN5;FCGRT;SMARCAD1;SLC26A11;LZTS2;C8ORF42;PLEKHJ1;HMGN1;CSGALNACT1;IGFBP1;TLE4;RNF44;SUPT16H;MREG;USP5;TPM2;ANKRD44;MAGI3;SEMA6D;SPICE1;MOB3A;DISP1;ARMCX4;MELK;DGKQ;ZNF318;SNRPG;EIF2C4;DNMT1;ITPR1;TARS;C1ORF112;MTM1;DDRGK1;C1ORF109;EIF2B5;TMEM132C;OSBPL6;TMEM132B;DHCR24;LSM4;CNOT6;REEP4;ALB;TADA3;SPIRE2;SLC26A4;CNIH3;SLC26A6;DPP10;RNF11;GAL3ST1;WDR1;MCM8;PSD4;RNPEP;UBTF;PDDC1;WDR6;EIF2B1;TNPO2;ADAMTS9;CCDC34;TRPC1;RTN4RL2;HAUS6;KCNAB2;COASY;POLR1A;POLR1B;ZNF516;POLR1C;MCM3;SNRPA1;MCM6;ZNF511;SSX2IP;HDAC4;PLEKHH2;ACSS3;ACSS2;MTFP1;GLS2;VPS4B;AMBRA1;LMF1;CYP3A7;ABLIM2;RAB20;RBBP5;KIAA0355;MGAT5B;POLR2E;RBBP7;WASF1;UGGT2;MEST;KCNIP3;TRIT1;RAD52;POLR3A;FRAS1;APOC2;MFAP3;POLR3E;APOC1;CBLN4;METAP2;TCERG1;ISCA2;TRAF3IP3;MKI67;TIAL1;GOLGA5;RPL18A;PPP2R1A;RPS6KA1;SEPHS1;SOX6;SIL1;SKP1;SOX5;SLC35C2;SLC6A12;CYP27A1;CIRH1A;TTLL12;AURKAIP1;TELO2;BEX4;GPM6A;MACF1;BEX2;HKR1;TMEM161A;MAOB;ANP32A;DCUN1D4;RPAP1;GMCL1;NUAK1;PDCD11;ASUN;INPP5D;SCAI;ZRANB3;TRAP1;ZWINT;UBAC2;TPX2;STAG2;ANP32E;TECPR1;TOP2A;DAZAP2;AHCTF1;FASTKD1;SH3KBP1;FAM69A;SLC35F1;HCCS;LIMD2;CAMKV;XPO5;ZNF800;DLAT;ANKRD6;PRMT5;MANBA;PARP1;PRMT3;RHOH;NME6;NME7;RPUSD3;MAPRE1;CSTB;ZDHHC23;DRP2;NT5C;ANKMY2;EGFLAM;METTL5;CTNNA2;ARNT2;MTX1;PTGES2;PTGES3;XPO7;LHFPL2;LILRB4;SVIP;MPP6;TJP1;PRKRA;R3HCC1;CAMK1;CCBL2;NUCKS1;CHCHD4;CHCHD3;BMPER;NARS2;ARHGDIB;TRAPPC12;SIRPA;GUCY1A3;NOM1;LIG1;LMO4;SHISA5;PUS7;ALG10;PDIA6;KCTD7;TUFM;ALDH3A2;TMEM135;MAU2;FANCD2;ILVBL;ELMO1;MATR3;RPS19BP1;USP53;NOP2;LPL;CABP1;C14ORF101;ARHGAP15;TRHDE;MAN2A1;PODXL;TMEM128;CDH23;TGFB2;MLKL;CBX3;ARHGAP28;EIF2S2;NMRAL1;COQ4;EFNA1;ARHGAP32;GRHPR;DLG1;KIF18A;ARHGAP30;DLG2;SELL;BRWD1;BMPR1A;ABCD4;CREBZF;GPSM2;DOCK8;DBI;YBX1;ELAVL2;SGSH;MFSD8;CASP7;SEPT6;CASP8;CYP4V2;TOP1MT;POLE;USP48;SVOP;CAMK1D;CKAP2;LSS;FGR;RBL2;RBMS1;CASQ1;DOCK2;DOCK1;FAM60A;SKIV2L2;HCN4;RGS19;USP10;CAMK2A;PDXP;SPG7;NT5DC3;PDSS2;PTCD3;USP22;CMTM6;CYHR1;DEK;SHCBP1;FMNL1;NEURL4;CAPN10;C2ORF72;PDE7A
