Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Rumen	1/26	0.29414022213385826	0.3976849109224127	0	0	2.974943396226415	3.640434304991801	GOLGB1
S2 cell	1/26	0.29414022213385826	0.3976849109224127	0	0	2.974943396226415	3.640434304991801	TM9SF4
Saccule	1/26	0.29414022213385826	0.3976849109224127	0	0	2.974943396226415	3.640434304991801	SLC25A16
Synovium	3/144	0.30012806769768685	0.4004149466795815	0	0	1.5850659331769275	1.907699768513838	VIT;PEX6;FSTL1
Retinoblastoma cell	2/83	0.3027172937055778	0.4004149466795815	0	0	1.8381032547699214	2.1964523899095463	GOLGB1;PRDM2
N1E-115 cell	1/27	0.30354036280548924	0.4004149466795815	0	0	2.860377358490566	3.410258264687014	CCDC120
Neurofibrillary tangle	1/27	0.30354036280548924	0.4004149466795815	0	0	2.860377358490566	3.410258264687014	PHF1
Sweat gland	1/27	0.30354036280548924	0.4004149466795815	0	0	2.860377358490566	3.410258264687014	EDA2R
Electric organ	1/27	0.30354036280548924	0.4004149466795815	0	0	2.860377358490566	3.410258264687014	ATP11A
Vegetative stage	1/27	0.30354036280548924	0.4004149466795815	0	0	2.860377358490566	3.410258264687014	RBM5
Vestibular hair cell	1/27	0.30354036280548924	0.4004149466795815	0	0	2.860377358490566	3.410258264687014	STT3A
Mammary gland	7/412	0.30932339213610044	0.40680712783959877	0	0	1.2898898898898898	1.5135154853275694	CNOT4;TPRG1;SORT1;NR1H2;SIK3;PRRC2C;SNTB2
Mantle	1/28	0.3128157832521344	0.41015725054811575	0	0	2.7542976939203356	3.2008817629553445	CD22
Myoepithelium	1/29	0.32196813206215447	0.4171169233282837	0	0	2.6557951482479782	3.009819830976711	CALD1
Coronary artery	1/29	0.32196813206215447	0.4171169233282837	0	0	2.6557951482479782	3.009819830976711	PUM1
Sweat	1/29	0.32196813206215447	0.4171169233282837	0	0	2.6557951482479782	3.009819830976711	NAA50
Keloid	1/29	0.32196813206215447	0.4171169233282837	0	0	2.6557951482479782	3.009819830976711	DCN
BTO:0000379	6/351	0.32512640304141976	0.41995493726183386	0	0	1.2969230769230768	1.4571465618127253	ITSN2;CDKN1C;EYA2;KANSL3;EBF2;OSBPL1A
Embryonic fibroblast	2/88	0.327185475443544	0.4213605232715077	0	0	1.7307963354474982	1.933694241959757	ULK1;MTOR
Microspore	1/30	0.33099903614554843	0.4225105343740235	0	0	2.5640858815875083	2.834955441188919	SDPR
Aorta endothelium	1/30	0.33099903614554843	0.4225105343740235	0	0	2.5640858815875083	2.834955441188919	FKBP5
arl6	1/30	0.33099903614554843	0.4225105343740235	0	0	2.5640858815875083	2.834955441188919	BBS1
Prostate cancer cell line	2/89	0.3320536489718623	0.4226137350550975	0	0	1.7108150470219436	1.8861029837167647	NSD1;MAP4
Adult	14/918	0.338096786381843	0.4263612248866227	0	0	1.1572025565388397	1.254897153888782	ITSN2;MEF2A;CDKN1C;MEF2C;PPP1R12A;MAOA;HGF;SEMA3A;DCN;MTOR;MECP2;GHR;HPGDS;CD22
Breast cancer cell	4/221	0.33898065922102816	0.4263612248866227	0	0	1.3731311781053224	1.4854700959292826	CCDC134;OGDH;DIP2A;TPD52L1
Adipocyte	1/31	0.339910100946478	0.4263612248866227	0	0	2.4784905660377357	2.6744749900790725	ACAA2
Animal cap	1/31	0.339910100946478	0.4263612248866227	0	0	2.4784905660377357	2.6744749900790725	LDB1
Choanomastigote	1/31	0.339910100946478	0.4263612248866227	0	0	2.4784905660377357	2.6744749900790725	AIMP2
Hair cell	2/91	0.34175951972069835	0.42744562408871206	0	0	1.6721995233231188	1.7953535868005335	SFSWAP;STT3A
Peripheral nerve	3/157	0.34738869398166733	0.4275058285663174	0	0	1.4502987506789788	1.533416779413532	NAA50;SEMA3A;PMP22
Choriocarcinoma cell	1/32	0.3487029108582405	0.4275058285663174	0	0	2.3984175289105294	2.5268167575761478	CCDC120
Olfactory epithelium	1/32	0.3487029108582405	0.4275058285663174	0	0	2.3984175289105294	2.5268167575761478	EBF1
Hair follicle	1/32	0.3487029108582405	0.4275058285663174	0	0	2.3984175289105294	2.5268167575761478	CCDC80
Renal epithelium	1/32	0.3487029108582405	0.4275058285663174	0	0	2.3984175289105294	2.5268167575761478	CCDC134
Tadpole	1/32	0.3487029108582405	0.4275058285663174	0	0	2.3984175289105294	2.5268167575761478	METTL7A
MEL cell	1/32	0.3487029108582405	0.4275058285663174	0	0	2.3984175289105294	2.5268167575761478	CLK4
Lymph	12/784	0.35082950855148004	0.42890142735589387	0	0	1.1604177716127453	1.2154852857318172	AKAP13;ACAA2;SON;DDX24;WBP2;MBOAT7;KANSL3;SLC38A10;MAP4;LSP1;PAFAH2;CD22
Mesenchymal stem cell	3/159	0.3546484074695021	0.4308402741699092	0	0	1.4315589353612168	1.48399462257576	MEF2C;HGF;DCN
Breast cancer cell line	4/227	0.357076726811025	0.4308402741699092	0	0	1.3357751685893267	1.3755874121844864	HPGDS;IGFBP5;HDAC6;MTOR
Merozoite	1/33	0.3573790292653625	0.4308402741699092	0	0	2.3233490566037736	2.390629420559556	GYPC
adipose-derived stem cell	1/33	0.3573790292653625	0.4308402741699092	0	0	2.3233490566037736	2.390629420559556	HGF
Filopodium	1/33	0.3573790292653625	0.4308402741699092	0	0	2.3233490566037736	2.390629420559556	WASL
Trophoblast	3/161	0.36189817689787374	0.4350798026971668	0	0	1.4132935457477018	1.4364607990956701	CDKN1C;ERVFRD-1;MTOR
Cerebral white matter	1/34	0.36593999909389846	0.4363130758427251	0	0	2.2528301886792454	2.264738414586116	PMP22
Conceptus	1/34	0.36593999909389846	0.4363130758427251	0	0	2.2528301886792454	2.264738414586116	CDKN1C
Decidua	1/34	0.36593999909389846	0.4363130758427251	0	0	2.2528301886792454	2.264738414586116	IL11RA
Secretory cell	1/35	0.37438734287140607	0.4451619364553157	0	0	2.1864594894561598	2.148118482269945	RAB27B
Ovary cell line	1/36	0.3827225631092849	0.45259289479408615	0	0	2.1238814016172505	2.039871125368213	PEX6
Rectal cancer cell	1/36	0.3827225631092849	0.45259289479408615	0	0	2.1238814016172505	2.039871125368213	ST7L
Teratocarcinoma cell	9/592	0.3893856208061209	0.4573343930505177	0	0	1.150356067836429	1.0849987181359937	PRKCI;ZNF791;SLC10A7;ZNF407;HP1BP3;MIB2;PCYOX1L;LONP2;DCUN1D2
Outer hair cell	1/37	0.3909471424464103	0.4573343930505177	0	0	2.0647798742138366	1.9392059784013267	SFSWAP
Cochlear hair cell	1/37	0.3909471424464103	0.4573343930505177	0	0	2.0647798742138366	1.9392059784013267	STT3A
Inner hair cell	1/37	0.3909471424464103	0.4573343930505177	0	0	2.0647798742138366	1.9392059784013267	SFSWAP
Capillary	2/103	0.39891431841909136	0.4608037405264958	0	0	1.4726222622262226	1.3533525617617146	POP4;CSAD
BTO:0001439	1/38	0.3990625441143615	0.4608037405264958	0	0	2.0088730239673636	1.845425333623264	VIT
Chronic lymphocytic leukemia cell	1/38	0.3990625441143615	0.4608037405264958	0	0	2.0088730239673636	1.845425333623264	CD22
g/g	1/38	0.3990625441143615	0.4608037405264958	0	0	2.0088730239673636	1.845425333623264	ADH1B
Hepatoma cell	4/241	0.3992216738201899	0.4608037405264958	0	0	1.255966760073437	1.1532769620812562	ZNF407;VPS54;BRAF;OGT
Synovial cell	1/39	0.40707021195870524	0.4686166365784564	0	0	1.9559086395233367	1.7579112206183944	IKZF5
Photoreceptor cell	1/40	0.414971570842161	0.47644884059655523	0	0	1.9056603773584906	1.6761145617804996	BSDC1
Ganglion	5/323	0.42959537910146617	0.48733113483251633	0	0	1.1696667389575652	0.9882648697037653	MECP2;MAOB;MAOA;SEMA3A;ATP13A2
Mononuclear cell	1/42	0.43046096756431207	0.48733113483251633	0	0	1.8125172572480441	1.5277683073735129	CD22
Ileal mucosa	1/42	0.43046096756431207	0.48733113483251633	0	0	1.8125172572480441	1.5277683073735129	FAM13A
Talus	1/42	0.43046096756431207	0.48733113483251633	0	0	1.8125172572480441	1.5277683073735129	PMP22
Fruit	2/110	0.4311869948748532	0.48733113483251633	0	0	1.3766835016835017	1.1580846369165825	HPGDS;MTOR
Knee	2/110	0.4311869948748532	0.48733113483251633	0	0	1.3766835016835017	1.1580846369165825	CILP;DCN
Tendon	2/111	0.4357230477325769	0.4911787083530867	0	0	1.3639838754517655	1.1331274891126086	COL3A1;DCN
HUVEC cell	2/113	0.4447363076537254	0.498363723638347	0	0	1.3392710892710893	1.0851761937393045	HGF;MTOR
Rosette	1/44	0.445541762146725	0.498363723638347	0	0	1.7280386134269416	1.3970575180796234	CREB3L2
Bone matrix	1/44	0.445541762146725	0.498363723638347	0	0	1.7280386134269416	1.3970575180796234	DCN
Vasculature	2/121	0.47996658005629994	0.5354897062838925	0	0	1.2487267634326458	0.916613897938486	CALCRL;FZD4
Periodontal ligament	1/49	0.4815258992613444	0.5358518981523679	0	0	1.5476415094339622	1.131009080025355	DCN
Colonic mucosa	1/50	0.4884385252284191	0.5395286618763131	0	0	1.5159799768964188	1.086262808220724	PRRC2C
Prostate gland cancer cell	2/123	0.48855936432578584	0.5395286618763131	0	0	1.227961432506887	0.8795817639014041	HGF;MTOR
HeLa cell	2/123	0.48855936432578584	0.5395286618763131	0	0	1.227961432506887	0.8795817639014041	NUMA1;EIF4G3
Blood vessel endothelium	2/124	0.49282245838525296	0.5427842143077685	0	0	1.2178340784898163	0.8617470599360478	CALCRL;DCN
Acute lymphoblastic leukemia cell	1/51	0.49525932918404675	0.5427842143077685	0	0	1.4855849056603774	1.0438815259009178	MTOR
Kinetoplastid	1/51	0.49525932918404675	0.5427842143077685	0	0	1.4855849056603774	1.0438815259009178	TMEM135
Molaris	1/53	0.5086303160910142	0.5560341490768266	0	0	1.4283018867924528	0.9655803818240372	SDPR
Endothelial cell	1/55	0.521648390039789	0.5664002284112334	0	0	1.3752620545073375	0.8949675979755651	IDS
Lymphoma cell	1/55	0.521648390039789	0.5664002284112334	0	0	1.3752620545073375	0.8949675979755651	CPEB4
Root nodule	2/131	0.5220278602868511	0.5664002284112334	0	0	1.151338971106413	0.7484098455488115	HPGDS;CALD1
Plasma cell	4/286	0.5295637711588427	0.5731438321270268	0	0	1.0531102809809973	0.669463979722864	CEACAM1;CLEC3B;IGFBP5;FSTL1
Acute myeloid leukemia cell	1/57	0.5343228316017335	0.5768559923262497	0	0	1.326010781671159	0.8310839791328084	MTOR
Neural crest	2/138	0.550089284427599	0.5924038447681835	0	0	1.0916889483065955	0.6524748413186854	FOXC1;SEMA3A
Prostate gland epithelium	6/450	0.5547636711802901	0.5959589932976385	0	0	1.0025987525987525	0.590744292621248	SLC10A7;HPGD;PPAP2A;MGST1;RAB27B;PAFAH2
Fibroblast	2/141	0.5617575094168064	0.6019821212022073	0	0	1.0679638107695661	0.6158787103288393	ABR;PMP22
Cyst	1/62	0.564564270387906	0.6034997373112099	0	0	1.2170120630992887	0.6957670721688616	MTOR
Renal cell carcinoma cell	1/67	0.5928487024477406	0.6321777318484507	0	0	1.1245283018867924	0.5879214468726711	RBM5
Uroepithelium	1/68	0.5982819993894647	0.6364078130760482	0	0	1.1076879752182485	0.5690116313866093	NUMA1
Lymphoblast	1/70	0.6089328395434153	0.6439241289215252	0	0	1.0754716981132075	0.5334848291172628	MPHOSPH8
Pancreatic cancer cell	1/70	0.6089328395434153	0.6439241289215252	0	0	1.0754716981132075	0.5334848291172628	HGF
Mast cell	2/154	0.6097991174809835	0.6439241289215252	0	0	0.9759768740031898	0.4827432363441047	VIT;IL1RL1
Substantia nigra	1/71	0.6141522837510195	0.6469468231746176	0	0	1.0600539083557952	0.5167893851849691	HPGDS
Sertoli cell	1/72	0.619302323849412	0.6507922725197212	0	0	1.0450704225352112	0.5007577397872922	MAN2A2
Colonic adenocarcinoma cell	1/78	0.6487957266987797	0.6784996274392058	0	0	0.9633423180592992	0.4167778798353423	CEACAM1
Cancer stem cell	1/78	0.6487957266987797	0.6784996274392058	0	0	0.9633423180592992	0.4167778798353423	MTOR
Needle	1/79	0.6534850140317341	0.6817608079081072	0	0	0.9509433962264151	0.40456524854874	CREB3L2
Aorta	1/84	0.676012129099689	0.7035713765689808	0	0	0.8934303250738804	0.34981751606885275	CALD1
Ovary cancer cell	2/179	0.690725640799271	0.7171648997772335	0	0	0.8370570107858244	0.30972162471917425	EPB41L2;TSHZ2
3T3-L1 cell	1/88	0.6929784704075806	0.7177867688708591	0	0	0.8521795705920625	0.31254226673107505	MTOR
Stromal cell	2/182	0.6994501790936418	0.7227651850634299	0	0	0.822979797979798	0.2941829437331272	HGF;DCN
Bladder	5/443	0.7049005486550874	0.7266670739104703	0	0	0.8439615808534089	0.2951321426482592	COL3A1;HPGD;MGST1;C10ORF10;SRSF5
Germ	1/94	0.7167824869768546	0.7371649273648221	0	0	0.7969567863664029	0.26537294193225086	OGT
Cervical cancer cell line	1/96	0.7243012246951659	0.7431364811293191	0	0	0.7800993048659385	0.2516194057713582	HPGDS
Marrow	1/98	0.7316210874080097	0.7488763017336704	0	0	0.7639369772417818	0.23872460580379787	CD22
NIH-3T3 cell	1/109	0.7685528561833253	0.7848280931377957	0	0	0.6857442348008386	0.18051938568343848	HPGDS
Blastocyst	1/129	0.8232101033160992	0.8386694479793124	0	0	0.5780070754716982	0.1124477052099022	ECM2
Ectoderm	1/136	0.8391276218761985	0.8521554131419664	0	0	0.5478406708595388	0.09608712962948193	EYA2
Umbilical cord blood	3/345	0.8403744627298655	0.8521554131419664	0	0	0.6467880728437062	0.11248142452843381	ZNF254;SON;FOXP1
Cranium	1/141	0.8496151562878981	0.8595174308367081	0	0	0.5281401617250674	0.0860719471742505	GSN
Immune system	10/1046	0.8942841212228255	0.9026030432807123	0	0	0.7050102557915058	0.07877202635169413	IL1RL1;CEACAM1;HPGDS;GSN;GYPC;STAT2;HGF;SAA1;IL16;MTOR
Pharynx	4/541	0.9317858458462316	0.9382715941931892	0	0	0.5457802038466459	0.03856061023264389	MEF2C;DDX24;STT3A;DCN
Germ cell	1/264	0.9715126757602861	0.9760104196295466	0	0	0.279374417103092	0.008074189589139467	HPGDS
B-lymphocyte cell line	1/273	0.974788027968013	0.9770392705268307	0	0	0.27000554938956717	0.0068946561898866575	MTOR
Ascites	4/884	0.9977357343158105	0.9977357343158105	0	0	0.32709923664122137	7.414793471218804E-4	GSN;DDX24;MBOAT7;ATP11A
